timestamp,signal_dbm,quality,bitrate,connected
2026-04-01 15:36:40,,,, 0
2026-04-01 15:36:41,,,, 0
2026-04-01 15:36:42,,,, 0
2026-04-01 15:36:43,,,, 0
2026-04-01 15:36:44,,,, 0
2026-04-01 15:36:45,,,, 0
2026-04-01 15:36:46,,,, 0
2026-04-01 15:36:47,,,, 0
2026-04-01 15:36:48,,,, 0
2026-04-01 15:36:49,,,, 0
2026-04-01 15:36:50,,,, 0
2026-04-01 15:36:51,,,, 0
2026-04-01 15:36:52,,,, 0
2026-04-01 15:36:53,,,, 0
2026-04-01 15:36:54,,,, 0
2026-04-01 15:36:55,,,, 0
2026-04-01 15:36:56,,,, 0
2026-04-01 15:36:57,,,, 0
2026-04-01 15:36:58,,,, 0
2026-04-01 15:36:59,,,, 0
2026-04-01 15:37:00,,,, 0
2026-04-01 15:37:01,,,, 0
2026-04-01 15:37:02,,,, 0
2026-04-01 15:37:04,,,, 0
2026-04-01 15:37:05,,,, 0
2026-04-01 15:37:06,,,, 0
2026-04-01 15:37:07,,,, 0
2026-04-01 15:37:08,,,, 0
2026-04-01 15:37:09,,,, 0
2026-04-01 15:37:10,,,, 0
2026-04-01 15:37:11,,,, 0
2026-04-01 15:37:12,,,, 0
2026-04-01 15:37:13,,,, 0
2026-04-01 15:37:14,,,, 0
2026-04-01 15:37:15,,,, 0
2026-04-01 15:37:16,,,, 0
2026-04-01 15:37:17,,,, 0
2026-04-01 15:37:18,,,, 0
2026-04-01 15:37:19,,,, 0
2026-04-01 15:37:20,,,, 0
2026-04-01 15:37:21,,,, 0
2026-04-01 15:37:22,,,, 0
2026-04-01 15:37:23,,,, 0
2026-04-01 15:37:24,,,, 0
2026-04-01 15:37:25,,,, 0
2026-04-01 15:37:26,,,, 0
2026-04-01 15:37:27,,,, 0
2026-04-01 15:37:28,-83,27/70,,1
2026-04-01 15:37:29,-83,27/70,,1
2026-04-01 15:37:30,-83,27/70,,1
2026-04-01 15:37:31,-84,26/70,,1
2026-04-01 15:37:32,-84,26/70,,1
2026-04-01 15:37:33,-84,26/70,,1
2026-04-01 15:37:34,-84,26/70,,1
2026-04-01 15:37:35,-84,26/70,,1
2026-04-01 15:37:37,-84,26/70,,1
2026-04-01 15:37:38,,,, 0
2026-04-01 15:37:39,,,, 0
2026-04-01 15:37:40,,,, 0
2026-04-01 15:37:41,,,, 0
2026-04-01 15:37:42,,,, 0
2026-04-01 15:37:43,,,, 0
2026-04-01 15:37:44,,,, 0
2026-04-01 15:37:45,,,, 0
2026-04-01 15:37:46,,,, 0
2026-04-01 15:37:47,,,, 0
2026-04-01 15:37:48,,,, 0
2026-04-01 15:37:49,,,, 0
2026-04-01 15:37:50,-87,23/70,65.0 MBit/s,1
2026-04-01 15:37:51,-86,24/70,52.0 MBit/s,1
2026-04-01 15:37:52,-85,26/70,26.0 MBit/s,1
2026-04-01 15:37:53,-85,25/70,19.5 MBit/s,1
2026-04-01 15:37:54,-85,25/70,13.0 MBit/s,1
2026-04-01 15:37:55,-85,25/70,13.0 MBit/s,1
2026-04-01 15:37:56,-84,26/70,13.0 MBit/s,1
2026-04-01 15:37:57,-85,25/70,13.0 MBit/s,1
2026-04-01 15:37:58,-84,26/70,13.0 MBit/s,1
2026-04-01 15:37:59,-83,27/70,6.5 MBit/s,1
2026-04-01 15:38:00,-80,30/70,6.0 MBit/s,1
2026-04-01 15:38:01,-81,29/70,6.0 MBit/s,1
2026-04-01 15:38:03,-81,29/70,6.5 MBit/s,1
2026-04-01 15:38:04,-84,26/70,7.2 MBit/s,1
2026-04-01 15:38:05,-87,23/70,7.2 MBit/s,1
2026-04-01 15:38:06,-87,23/70,7.2 MBit/s,1
2026-04-01 15:38:07,-87,23/70,6.0 MBit/s,1
2026-04-01 15:38:08,-87,23/70,6.0 MBit/s,1
2026-04-01 15:38:09,-87,23/70,6.0 MBit/s,1
2026-04-01 15:38:10,-87,23/70,6.0 MBit/s,1
2026-04-01 15:38:11,-87,23/70,6.0 MBit/s,1
2026-04-01 15:38:12,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:13,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:14,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:15,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:16,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:17,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:18,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:19,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:21,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:22,-86,24/70,6.0 MBit/s,1
2026-04-01 15:38:23,,,, 0
2026-04-01 15:38:24,,,, 0
2026-04-01 15:38:25,,,, 0
2026-04-01 15:38:26,,,, 0
2026-04-01 15:38:27,,,, 0
2026-04-01 15:38:28,,,, 0
2026-04-01 15:38:29,,,, 0
2026-04-01 15:38:30,,,, 0
2026-04-01 15:38:31,,,, 0
2026-04-01 15:38:32,,,, 0
2026-04-01 15:38:33,,,, 0
2026-04-01 15:38:34,,,, 0
2026-04-01 15:38:35,,,, 0
2026-04-01 15:38:36,,,, 0
2026-04-01 15:38:37,,,, 0
2026-04-01 15:38:38,,,, 0
2026-04-01 15:38:39,,,, 0
2026-04-01 15:38:40,,,, 0
2026-04-01 15:38:41,,,, 0
2026-04-01 15:38:42,,,, 0
2026-04-01 15:38:43,-83,27/70,,1
2026-04-01 15:38:44,-84,26/70,,1
2026-04-01 15:38:45,-82,28/70,,1
2026-04-01 15:38:46,-84,26/70,,1
2026-04-01 15:38:47,,,, 0
2026-04-01 15:38:48,,,, 0
2026-04-01 15:38:50,,,, 0
2026-04-01 15:38:51,-85,25/70,65.0 MBit/s,1
2026-04-01 15:38:52,-88,22/70,58.5 MBit/s,1
2026-04-01 15:38:53,-88,22/70,58.5 MBit/s,1
2026-04-01 15:38:54,-85,25/70,52.0 MBit/s,1
2026-04-01 15:38:55,-87,23/70,52.0 MBit/s,1
2026-04-01 15:38:56,-87,23/70,52.0 MBit/s,1
2026-04-01 15:38:57,-87,23/70,24.0 MBit/s,1
2026-04-01 15:38:58,-87,23/70,52.0 MBit/s,1
2026-04-01 15:38:59,-88,22/70,24.0 MBit/s,1
2026-04-01 15:39:00,-88,22/70,24.0 MBit/s,1
2026-04-01 15:39:01,-88,22/70,24.0 MBit/s,1
2026-04-01 15:39:02,-88,22/70,39.0 MBit/s,1
2026-04-01 15:39:03,-88,22/70,24.0 MBit/s,1
2026-04-01 15:39:04,-88,22/70,24.0 MBit/s,1
2026-04-01 15:39:05,,,, 0
2026-04-01 15:39:06,,,, 0
2026-04-01 15:39:07,,,, 0
2026-04-01 15:39:08,,,, 0
2026-04-01 15:39:09,,,, 0
2026-04-01 15:39:10,,,, 0
2026-04-01 15:39:11,,,, 0
2026-04-01 15:39:13,,,, 0
2026-04-01 15:39:14,-88,22/70,,1
2026-04-01 15:39:15,-89,21/70,,1
2026-04-01 15:39:16,,,, 0
2026-04-01 15:39:17,,,, 0
2026-04-01 15:39:18,,,, 0
2026-04-01 15:39:19,,,, 0
2026-04-01 15:39:20,,,, 0
2026-04-01 15:39:21,,,, 0
2026-04-01 15:39:22,,,, 0
2026-04-01 15:39:23,,,, 0
2026-04-01 15:39:24,,,, 0
2026-04-01 15:39:25,,,, 0
2026-04-01 15:39:26,,,, 0
2026-04-01 15:39:27,,,, 0
2026-04-01 15:39:28,,,, 0
2026-04-01 15:39:29,,,, 0
2026-04-01 15:39:30,,,, 0
2026-04-01 15:39:31,,,, 0
2026-04-01 15:39:32,,,, 0
2026-04-01 15:39:33,,,, 0
2026-04-01 15:39:34,,,, 0
2026-04-01 15:39:35,,,, 0
2026-04-01 15:39:36,,,, 0
2026-04-01 15:39:37,,,, 0
2026-04-01 15:39:38,-86,24/70,39.0 MBit/s,1
2026-04-01 15:39:39,-86,24/70,26.0 MBit/s,1
2026-04-01 15:39:40,-85,25/70,19.5 MBit/s,1
2026-04-01 15:39:41,-86,24/70,13.0 MBit/s,1
2026-04-01 15:39:42,-86,24/70,6.5 MBit/s,1
2026-04-01 15:39:44,-86,24/70,5.5 MBit/s,1
2026-04-01 15:39:45,-86,24/70,5.5 MBit/s,1
2026-04-01 15:39:46,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:47,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:48,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:49,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:50,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:51,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:52,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:53,-86,24/70,1.0 MBit/s,1
2026-04-01 15:39:54,-87,23/70,1.0 MBit/s,1
2026-04-01 15:39:55,-87,23/70,1.0 MBit/s,1
2026-04-01 15:39:56,-87,23/70,1.0 MBit/s,1
2026-04-01 15:39:57,-87,23/70,1.0 MBit/s,1
2026-04-01 15:39:58,-87,23/70,1.0 MBit/s,1
2026-04-01 15:39:59,-87,23/70,1.0 MBit/s,1
2026-04-01 15:40:01,-87,23/70,1.0 MBit/s,1
2026-04-01 15:40:02,,,, 0
2026-04-01 15:40:03,,,, 0
2026-04-01 15:40:04,,,, 0
2026-04-01 15:40:05,,,, 0
2026-04-01 15:40:06,,,, 0
2026-04-01 15:40:07,,,, 0
2026-04-01 15:40:08,,,, 0
2026-04-01 15:40:09,,,, 0
2026-04-01 15:40:10,,,, 0
2026-04-01 15:40:11,,,, 0
2026-04-01 15:40:12,,,, 0
2026-04-01 15:40:13,,,, 0
2026-04-01 15:40:14,-85,25/70,,1
2026-04-01 15:40:15,-85,25/70,58.5 MBit/s,1
2026-04-01 15:40:16,-89,22/70,6.5 MBit/s,1
2026-04-01 15:40:17,-88,22/70,6.5 MBit/s,1
2026-04-01 15:40:18,-88,22/70,6.5 MBit/s,1
2026-04-01 15:40:19,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:20,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:21,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:23,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:24,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:25,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:26,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:27,-88,22/70,5.5 MBit/s,1
2026-04-01 15:40:28,,,, 0
2026-04-01 15:40:29,,,, 0
2026-04-01 15:40:30,,,, 0
2026-04-01 15:40:31,,,, 0
2026-04-01 15:40:32,,,, 0
2026-04-01 15:40:33,,,, 0
2026-04-01 15:40:34,-89,22/70,,1
2026-04-01 15:40:35,-88,22/70,,1
2026-04-01 15:40:36,-87,23/70,,1
2026-04-01 15:40:37,-87,23/70,,1
2026-04-01 15:40:38,-87,23/70,,1
2026-04-01 15:40:39,-87,23/70,,1
2026-04-01 15:40:40,-87,23/70,,1
2026-04-01 15:40:42,,,, 0
2026-04-01 15:40:43,,,, 0
2026-04-01 15:40:44,,,, 0
2026-04-01 15:40:45,,,, 0
2026-04-01 15:40:46,,,, 0
2026-04-01 15:40:47,,,, 0
2026-04-01 15:40:48,,,, 0
2026-04-01 15:40:49,,,, 0
2026-04-01 15:40:50,,,, 0
2026-04-01 15:40:51,,,, 0
2026-04-01 15:40:52,,,, 0
2026-04-01 15:40:53,,,, 0
2026-04-01 15:40:54,,,, 0
2026-04-01 15:40:55,-87,23/70,58.5 MBit/s,1
2026-04-01 15:40:56,-87,23/70,52.0 MBit/s,1
2026-04-01 15:40:57,-87,23/70,52.0 MBit/s,1
2026-04-01 15:40:58,-88,22/70,52.0 MBit/s,1
2026-04-01 15:40:59,-86,24/70,39.0 MBit/s,1
2026-04-01 15:41:00,-86,24/70,13.0 MBit/s,1
2026-04-01 15:41:01,-86,24/70,13.0 MBit/s,1
2026-04-01 15:41:02,-86,24/70,6.5 MBit/s,1
2026-04-01 15:41:03,-85,25/70,5.5 MBit/s,1
2026-04-01 15:41:04,-86,24/70,5.5 MBit/s,1
2026-04-01 15:41:05,-87,23/70,5.5 MBit/s,1
2026-04-01 15:41:06,-87,23/70,5.5 MBit/s,1
2026-04-01 15:41:08,-87,23/70,5.5 MBit/s,1
2026-04-01 15:41:09,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:10,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:11,-87,23/70,2.0 MBit/s,1
2026-04-01 15:41:12,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:13,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:14,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:15,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:16,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:17,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:18,-86,24/70,2.0 MBit/s,1
2026-04-01 15:41:19,-86,24/70,1.0 MBit/s,1
2026-04-01 15:41:20,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:21,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:22,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:23,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:24,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:26,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:27,-87,24/70,1.0 MBit/s,1
2026-04-01 15:41:28,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:29,-88,23/70,2.0 MBit/s,1
2026-04-01 15:41:30,-88,22/70,1.0 MBit/s,1
2026-04-01 15:41:31,-88,22/70,1.0 MBit/s,1
2026-04-01 15:41:32,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:33,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:34,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:35,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:36,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:37,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:38,-88,22/70,1.0 MBit/s,1
2026-04-01 15:41:39,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:41,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:42,-87,23/70,1.0 MBit/s,1
2026-04-01 15:41:43,-86,24/70,1.0 MBit/s,1
2026-04-01 15:41:44,-85,25/70,1.0 MBit/s,1
2026-04-01 15:41:45,-85,25/70,1.0 MBit/s,1
2026-04-01 15:41:46,-86,24/70,1.0 MBit/s,1
2026-04-01 15:41:47,-83,27/70,1.0 MBit/s,1
2026-04-01 15:41:48,-79,31/70,1.0 MBit/s,1
2026-04-01 15:41:49,-78,32/70,1.0 MBit/s,1
2026-04-01 15:41:50,-79,31/70,1.0 MBit/s,1
2026-04-01 15:41:51,-82,28/70,1.0 MBit/s,1
2026-04-01 15:41:52,-84,26/70,1.0 MBit/s,1
2026-04-01 15:41:53,-84,26/70,1.0 MBit/s,1
2026-04-01 15:41:54,-84,26/70,1.0 MBit/s,1
2026-04-01 15:41:55,-85,25/70,1.0 MBit/s,1
2026-04-01 15:41:57,-86,24/70,1.0 MBit/s,1
2026-04-01 15:41:58,-86,24/70,1.0 MBit/s,1
2026-04-01 15:41:59,-87,23/70,1.0 MBit/s,1
2026-04-01 15:42:00,-85,25/70,1.0 MBit/s,1
2026-04-01 15:42:01,-85,25/70,1.0 MBit/s,1
2026-04-01 15:42:02,-84,26/70,1.0 MBit/s,1
2026-04-01 15:42:03,-85,25/70,1.0 MBit/s,1
2026-04-01 15:42:04,-85,25/70,1.0 MBit/s,1
2026-04-01 15:42:05,-85,25/70,1.0 MBit/s,1
2026-04-01 15:42:06,-85,25/70,1.0 MBit/s,1
2026-04-01 15:42:07,-85,25/70,2.0 MBit/s,1
2026-04-01 15:42:08,-85,25/70,2.0 MBit/s,1
2026-04-01 15:42:09,-85,25/70,2.0 MBit/s,1
2026-04-01 15:42:10,-85,25/70,2.0 MBit/s,1
2026-04-01 15:42:11,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:12,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:14,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:15,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:16,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:17,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:18,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:19,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:20,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:21,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:22,-86,24/70,2.0 MBit/s,1
2026-04-01 15:42:23,,,, 0
2026-04-01 15:42:24,,,, 0
2026-04-01 15:42:25,,,, 0
2026-04-01 15:42:26,,,, 0
2026-04-01 15:42:27,,,, 0
2026-04-01 15:42:28,,,, 0
2026-04-01 15:42:29,,,, 0
2026-04-01 15:42:30,,,, 0
2026-04-01 15:42:31,,,, 0
2026-04-01 15:42:32,,,, 0
2026-04-01 15:42:33,,,, 0
2026-04-01 15:42:35,,,, 0
2026-04-01 15:42:36,,,, 0
2026-04-01 15:42:37,,,, 0
2026-04-01 15:42:38,,,, 0
2026-04-01 15:42:39,,,, 0
2026-04-01 15:42:40,,,, 0
2026-04-01 15:42:41,,,, 0
2026-04-01 15:42:42,,,, 0
2026-04-01 15:42:43,,,, 0
2026-04-01 15:42:44,,,, 0
2026-04-01 15:42:45,,,, 0
2026-04-01 15:42:46,,,, 0
2026-04-01 15:42:47,,,, 0
2026-04-01 15:42:48,,,, 0
2026-04-01 15:42:49,,,, 0
2026-04-01 15:42:50,,,, 0
2026-04-01 15:42:51,,,, 0
2026-04-01 15:42:52,,,, 0
2026-04-01 15:42:53,,,, 0
2026-04-01 15:42:54,,,, 0
2026-04-01 15:42:55,,,, 0
2026-04-01 15:42:56,,,, 0
2026-04-01 15:42:57,,,, 0
2026-04-01 15:42:58,,,, 0
2026-04-01 15:42:59,,,, 0
2026-04-01 15:43:00,,,, 0
2026-04-01 15:43:01,,,, 0
2026-04-01 15:43:02,,,, 0
2026-04-01 15:43:03,,,, 0
2026-04-01 15:43:04,,,, 0
2026-04-01 15:43:05,,,, 0
2026-04-01 15:43:06,,,, 0
2026-04-01 15:43:07,,,, 0
2026-04-01 15:43:08,,,, 0
2026-04-01 15:43:09,,,, 0
2026-04-01 15:43:10,,,, 0
2026-04-01 15:43:11,,,, 0
2026-04-01 15:43:12,,,, 0
2026-04-01 15:43:13,,,, 0
2026-04-01 15:43:14,,,, 0
2026-04-01 15:43:15,,,, 0
2026-04-01 15:43:16,,,, 0
2026-04-01 15:43:17,,,, 0
2026-04-01 15:43:18,,,, 0
2026-04-01 15:43:19,,,, 0
2026-04-01 15:43:20,,,, 0
2026-04-01 15:43:21,,,, 0
2026-04-01 15:43:22,,,, 0
2026-04-01 15:43:23,,,, 0
2026-04-01 15:43:24,,,, 0
2026-04-01 15:43:25,,,, 0
2026-04-01 15:43:26,,,, 0
2026-04-01 15:43:27,,,, 0
